producto_id,nombre_producto,categoria,mes_pronosticado,horizonte,prediccion_xgboost,prediccion_regresion_lineal,prediccion_baseline,prediccion_final,metodo_usado
1001,,Electronics,2024-01,1,0.79,13.98,46.67,46.67,Media móvil
1002,,Furniture,2024-01,1,7.93,15.98,31.0,15.98,Regresión Lineal
1003,,Furniture,2024-01,1,10.95,13.04,19.33,10.95,XGBoost
1004,,Clothing,2024-01,1,18.26,15.42,4.0,18.26,XGBoost
1005,,Clothing,2024-01,1,4.0,3.66,33.0,33.0,Media móvil
1006,,Food,2024-01,1,3.45,9.05,7.33,7.33,Media móvil
1007,,Furniture,2024-01,1,8.14,10.34,0.0,8.14,XGBoost
1008,,Clothing,2024-01,1,13.76,21.78,41.0,41.0,Media móvil
1009,,Clothing,2024-01,1,6.36,19.43,4.67,6.36,XGBoost
1010,,Food,2024-01,1,1.0,9.47,16.67,9.47,Regresión Lineal
1011,,Electronics,2024-01,1,3.73,0.52,4.33,4.33,Media móvil
1012,,Electronics,2024-01,1,8.33,15.28,22.67,15.28,Regresión Lineal
1013,,Clothing,2024-01,1,5.94,18.0,22.0,22.0,Media móvil
1014,,Furniture,2024-01,1,2.11,6.69,26.33,26.33,Media móvil
1015,,Electronics,2024-01,1,0.0,7.75,8.0,7.75,Regresión Lineal
1016,,Electronics,2024-01,1,1.26,13.71,20.33,13.71,Regresión Lineal
1017,,Furniture,2024-01,1,5.55,22.79,11.33,11.33,Media móvil
1018,,Clothing,2024-01,1,6.59,8.05,0.0,6.59,XGBoost
1019,,Clothing,2024-01,1,0.1,7.2,49.33,49.33,Media móvil
1020,,Clothing,2024-01,1,2.07,6.66,15.0,15.0,Media móvil
1021,,Electronics,2024-01,1,3.52,12.18,15.33,15.33,Media móvil
1022,,Furniture,2024-01,1,10.74,1.77,13.0,10.74,XGBoost
1023,,Clothing,2024-01,1,1.77,10.07,29.67,29.67,Media móvil
1024,,Food,2024-01,1,14.94,29.68,21.67,14.94,XGBoost
1025,,Electronics,2024-01,1,2.87,11.19,27.67,27.67,Media móvil
1026,,Electronics,2024-01,1,1.29,5.44,27.0,27.0,Media móvil
1027,,Food,2024-01,1,2.71,17.66,0.0,2.71,XGBoost
1028,,Clothing,2024-01,1,1.38,6.58,22.33,22.33,Media móvil
1029,,Clothing,2024-01,1,0.84,9.61,12.33,9.61,Regresión Lineal
1030,,Clothing,2024-01,1,5.99,14.72,21.0,21.0,Media móvil
1031,,Clothing,2024-01,1,0.81,0.0,7.33,7.33,Media móvil
1032,,Electronics,2024-01,1,4.78,10.88,21.67,10.88,Regresión Lineal
1033,,Clothing,2024-01,1,11.58,19.02,42.33,42.33,Media móvil
1034,,Food,2024-01,1,21.42,15.4,11.33,15.4,Regresión Lineal
1035,,Clothing,2024-01,1,8.02,20.79,0.33,0.33,Media móvil
1036,,Furniture,2024-01,1,11.82,10.67,35.67,35.67,Media móvil
1037,,Clothing,2024-01,1,0.0,7.66,10.67,10.67,Media móvil
1038,,Clothing,2024-01,1,6.41,11.93,10.67,6.41,XGBoost
1039,,Clothing,2024-01,1,12.46,19.04,0.0,12.46,XGBoost
1040,,Clothing,2024-01,1,5.37,7.44,15.67,15.67,Media móvil
1041,,Food,2024-01,1,1.54,4.05,13.33,13.33,Media móvil
1042,,Electronics,2024-01,1,5.17,15.6,0.0,5.17,XGBoost
1043,,Electronics,2024-01,1,0.0,0.0,14.33,14.33,Media móvil
1044,,Food,2024-01,1,2.41,9.0,5.67,5.67,Media móvil
1045,,Clothing,2024-01,1,0.81,11.44,22.0,22.0,Media móvil
1046,,Furniture,2024-01,1,3.49,10.23,0.0,3.49,XGBoost
1047,,Clothing,2024-01,1,9.49,16.38,14.33,16.38,Regresión Lineal
1048,,Electronics,2024-01,1,2.15,21.3,16.0,16.0,Media móvil
1049,,Electronics,2024-01,1,0.0,4.49,35.33,35.33,Media móvil
1050,,Furniture,2024-01,1,1.19,18.83,9.33,9.33,Media móvil
1051,,Electronics,2024-01,1,1.34,8.88,38.67,38.67,Media móvil
1052,,Furniture,2024-01,1,1.69,3.05,41.67,41.67,Media móvil
1053,,Furniture,2024-01,1,0.17,6.1,56.33,56.33,Media móvil
1054,,Electronics,2024-01,1,29.47,22.45,21.33,22.45,Regresión Lineal
1055,,Furniture,2024-01,1,2.93,2.25,18.0,18.0,Media móvil
1056,,Clothing,2024-01,1,8.1,18.91,9.67,9.67,Media móvil
1057,,Food,2024-01,1,4.44,8.2,32.33,32.33,Media móvil
1058,,Clothing,2024-01,1,6.41,26.96,45.67,26.96,Regresión Lineal
1059,,Electronics,2024-01,1,5.66,10.3,15.0,15.0,Media móvil
1060,,Clothing,2024-01,1,3.53,8.6,41.33,41.33,Media móvil
1061,,Clothing,2024-01,1,1.85,24.49,38.0,24.49,Regresión Lineal
1062,,Electronics,2024-01,1,8.91,29.64,41.67,41.67,Media móvil
1063,,Electronics,2024-01,1,0.8,21.08,30.33,21.08,Regresión Lineal
1064,,Clothing,2024-01,1,1.4,7.37,11.67,11.67,Media móvil
1065,,Clothing,2024-01,1,0.0,0.0,16.0,16.0,Media móvil
1066,,Furniture,2024-01,1,0.35,6.62,1.33,1.33,Media móvil
1067,,Electronics,2024-01,1,16.54,29.27,0.0,16.54,XGBoost
1068,,Clothing,2024-01,1,3.47,0.68,14.0,14.0,Media móvil
1069,,Electronics,2024-01,1,0.57,18.46,38.67,38.67,Media móvil
1070,,Furniture,2024-01,1,0.12,0.0,30.0,30.0,Media móvil
1071,,Food,2024-01,1,4.15,0.0,40.33,40.33,Media móvil
1072,,Clothing,2024-01,1,2.81,2.27,29.0,29.0,Media móvil
1073,,Clothing,2024-01,1,0.0,0.0,83.0,83.0,Media móvil
1074,,Furniture,2024-01,1,6.18,9.19,20.33,20.33,Media móvil
1075,,Clothing,2024-01,1,32.15,23.48,18.33,18.33,Media móvil
1076,,Clothing,2024-01,1,0.0,3.68,28.33,28.33,Media móvil
1077,,Electronics,2024-01,1,1.91,1.59,17.33,17.33,Media móvil
1078,,Furniture,2024-01,1,4.0,18.46,2.67,2.67,Media móvil
1079,,Clothing,2024-01,1,0.01,5.5,16.67,16.67,Media móvil
1080,,Electronics,2024-01,1,1.13,12.2,10.67,10.67,Media móvil
1081,,Food,2024-01,1,6.24,13.9,7.67,6.24,XGBoost
1082,,Furniture,2024-01,1,3.73,4.24,13.67,13.67,Media móvil
1083,,Clothing,2024-01,1,4.93,6.09,0.0,4.93,XGBoost
1084,,Furniture,2024-01,1,5.35,16.54,5.0,5.35,XGBoost
1085,,Clothing,2024-01,1,2.18,13.74,24.67,24.67,Media móvil
1086,,Food,2024-01,1,1.19,11.66,42.67,42.67,Media móvil
1087,,Furniture,2024-01,1,9.53,12.15,28.33,28.33,Media móvil
1088,,Furniture,2024-01,1,0.0,0.0,32.33,32.33,Media móvil
1089,,Furniture,2024-01,1,2.08,4.89,64.33,64.33,Media móvil
1090,,Clothing,2024-01,1,8.42,37.52,47.67,47.67,Media móvil
1091,,Electronics,2024-01,1,0.96,1.84,18.0,18.0,Media móvil
1092,,Clothing,2024-01,1,14.98,40.87,32.0,32.0,Media móvil
1093,,Furniture,2024-01,1,13.06,7.17,44.33,44.33,Media móvil
1094,,Food,2024-01,1,0.94,19.78,9.0,9.0,Media móvil
1095,,Clothing,2024-01,1,3.75,1.61,33.67,33.67,Media móvil
1096,,Clothing,2024-01,1,31.81,23.61,15.67,15.67,Media móvil
1097,,Electronics,2024-01,1,2.11,5.17,25.33,25.33,Media móvil
1098,,Electronics,2024-01,1,0.07,0.0,26.67,26.67,Media móvil
