producto_id,nombre_producto,categoria,proveedor_principal,proveedor_alterno,categoria_abc,variabilidad,metodo_pronostico,demanda_promedio_mensual_pronosticada,lead_time_semanas,lead_time_meses,stock_seguridad,punto_reorden,inventario_actual,eoq,limite_presupuesto_unidades,cantidad_sugerida_pedido,costo_unitario,costo_estimado_pedido,valor_inventario_actual,fecha_estimada_pedido,dias_para_pedido,ordenar
1001,,Electronics,,,A,Media,Media móvil,45.84,2.2,0.5,0.71,23.63,2483.0,,,0,,,,2028-05-21,1633,NO
1002,,Furniture,,,A,Alta,Regresión Lineal,17.69,2.2,0.5,1.43,10.27,640.0,,,0,,,,2026-11-18,1084,NO
1003,,Furniture,,,A,Alta,XGBoost,11.99,2.2,0.5,1.19,7.19,1520.0,,,0,,,,2034-06-06,3841,NO
1004,,Clothing,,,A,Alta,XGBoost,14.44,2.2,0.5,4.55,11.76,1540.0,,,0,,,,2032-09-26,3222,NO
1005,,Clothing,,,A,Alta,XGBoost,37.33,2.2,0.5,5.58,24.25,898.0,,,0,,,,2025-11-12,712,NO
1006,,Food,,,A,Alta,XGBoost,7.6,2.2,0.5,1.96,5.76,1426.0,,,0,,,,2039-06-25,5686,NO
1007,,Furniture,,,C,Alta,XGBoost,6.12,2.2,0.5,2.55,5.61,1242.0,,,0,,,,2040-10-01,6150,NO
1008,,Clothing,,,A,Media,XGBoost,49.96,2.2,0.5,10.47,35.45,568.67,,,0,,,,2024-10-20,325,NO
1009,,Clothing,,,A,Alta,XGBoost,4.97,2.2,0.5,1.26,3.74,2000.0,,,0,,,,2057-05-22,12227,NO
1010,,Food,,,B,Alta,Regresión Lineal,10.95,2.2,0.5,4.02,9.5,532.0,,,0,,,,2027-11-22,1453,NO
1011,,Electronics,,,C,Alta,Media móvil,5.94,2.2,0.5,1.61,4.58,323.0,,,0,,,,2028-05-20,1633,NO
1012,,Electronics,,,A,Media,Regresión Lineal,13.87,2.2,0.5,1.28,8.21,1377.0,,,0,,,,2032-02-20,3003,NO
1013,,Clothing,,,A,Alta,XGBoost,13.04,2.2,0.5,7.49,14.0,1088.5,,,0,,,,2030-10-13,2509,NO
1014,,Furniture,,,A,Alta,XGBoost,33.2,2.2,0.5,5.85,22.45,679.0,,,0,,,,2025-07-25,602,NO
1015,,Electronics,,,A,Alta,Regresión Lineal,7.97,2.2,0.5,0.94,4.92,1274.0,,,0,,,,2037-03-06,4845,NO
1016,,Electronics,,,A,Alta,Regresión Lineal,15.75,2.2,0.5,4.58,12.46,996.0,,,0,,,,2029-02-13,1901,NO
1017,,Furniture,,,A,Media,XGBoost,10.42,2.2,0.5,0.79,6.01,1707.0,,,0,,,,2037-07-07,4968,NO
1018,,Clothing,,,C,Alta,XGBoost,4.68,2.2,0.5,1.59,3.93,1112.0,,,0,,,,2043-08-20,7202,NO
1019,,Clothing,,,A,Media,Media móvil,43.45,2.2,0.5,4.96,26.68,2230.0,,,0,,,,2028-02-21,1543,NO
1020,,Clothing,,,B,Alta,XGBoost,20.56,2.2,0.5,5.58,15.86,903.0,,,0,,,,2027-07-06,1314,NO
1021,,Electronics,,,A,Alta,XGBoost,15.2,2.2,0.5,5.05,12.65,337.5,,,0,,,,2025-09-11,650,NO
1022,,Furniture,,,C,Alta,XGBoost,13.0,2.2,0.5,2.99,9.49,1547.0,,,0,,,,2033-10-10,3601,NO
1023,,Clothing,,,A,Alta,XGBoost,29.77,2.2,0.5,4.05,18.94,596.0,,,0,,,,2025-07-13,590,NO
1024,,Food,,,A,Media,XGBoost,14.7,2.2,0.5,1.43,8.78,1112.5,,,0,,,,2030-03-05,2286,NO
1025,,Electronics,,,A,Alta,Media móvil,26.51,2.2,0.5,3.66,16.91,1596.5,,,0,,,,2028-11-17,1814,NO
