producto_id,nombre_producto,categoria,mes_pronosticado,horizonte,prediccion_xgboost,prediccion_regresion_lineal,prediccion_baseline,prediccion_final,metodo_usado
0002101,OMEPRAZOL CÁPSULA 20MG,MEDICAMENTOS,2022-07,1,1686.06,2887.4,1991.67,1686.06,XGBoost
0004721,OXACILINA POLVO LIOFILIZADO 1G,MEDICAMENTOS,2022-07,1,0.3,56.44,16.33,16.33,Media móvil
0006422,"OXIMETAZOLINA SOLUCIÓN NASAL 0,05% ",MEDICAMENTOS,2022-07,1,0.44,0.0,1.33,1.33,Media móvil
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",MEDICAMENTOS,2022-07,1,181.44,181.45,170.67,181.44,XGBoost
103662,PALIVIZUMAB POLVO LIOFILIZADO 50 MG,MEDICAMENTOS,2022-07,1,2.06,0.0,1.33,2.06,XGBoost
105719,CLARITROMICINA 250MG/5ML GRANULOS PARA RECONSTITUIR A SUSPENSION ORAL,MEDICAMENTOS,2022-07,1,0.28,0.0,0.33,0.33,Media móvil
110028,"EPOPROSTENOL POLVO LIOFILIZADO 1,5MG",MEDICAMENTOS,2022-07,1,0.28,0.0,0.0,0.0,Media móvil
118494,DEXAMETASONA SOLUCIÓN OFTÁLMICA 5ML,MEDICAMENTOS,2022-07,1,1.13,1.66,2.0,1.13,XGBoost
119580,N-ACETILCISTEINA GRANULOS PARA SUSPENCIÓN ORAL 200MG,MEDICAMENTOS,2022-07,1,0.24,0.0,0.0,0.0,Media móvil
120804,CARBOXIMETILCELULOSA 0.5 % SOL. OFTALMICA ,MEDICAMENTOS,2022-07,1,0.08,0.46,0.67,0.67,Media móvil
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",NUTRICION,2022-07,1,52.58,99.02,126.67,126.67,Media móvil
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",NUTRICION,2022-07,1,94.65,139.96,114.33,139.96,Regresión Lineal
125690,FINASTERIDE 5MG TABLETA ,MEDICAMENTOS,2022-07,1,0.29,0.0,0.0,0.29,XGBoost
