producto_id,nombre_producto,categoria,proveedor_principal,proveedor_alterno,categoria_abc,variabilidad,metodo_pronostico,demanda_promedio_mensual_pronosticada,lead_time_semanas,lead_time_meses,stock_seguridad,punto_reorden,inventario_actual,eoq,limite_presupuesto_unidades,cantidad_sugerida_pedido,costo_unitario,costo_estimado_pedido,valor_inventario_actual,fecha_estimada_pedido,dias_para_pedido,ordenar
0002101,OMEPRAZOL CÁPSULA 20MG,MEDICAMENTOS,,,A,Baja,XGBoost,1718.11,1.0,0.23,18.51,413.93,481.0,,15.0,0.0,37.0,0.0,17797.0,2022-06-02,1.0,NO
0004721,OXACILINA POLVO LIOFILIZADO 1G,MEDICAMENTOS,,,C,Alta,XGBoost,9.68,1.0,0.23,3.77,6.0,21.0,,0.0,0.0,1077.0,0.0,22617.0,2022-07-18,47.0,NO
0006422,"OXIMETAZOLINA SOLUCIÓN NASAL 0,05% ",MEDICAMENTOS,,,C,Alta,XGBoost,1.14,1.0,0.23,0.28,0.54,2.0,,0.0,0.0,2065.0,0.0,4130.0,2022-07-10,39.0,NO
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",MEDICAMENTOS,,,B,Baja,XGBoost,180.56,1.0,0.23,4.59,46.15,43.0,,0.0,0.0,1059.0,0.0,45537.0,2022-06-01,0.0,SI
103662,PALIVIZUMAB POLVO LIOFILIZADO 50 MG,MEDICAMENTOS,COBO MEDICAL,EVEDISA,C,Alta,XGBoost,1.92,0.7,0.16,0.2,0.52,2.0,,0.0,0.0,1405270.0,0.0,2810540.0,2022-06-24,23.0,NO
105719,CLARITROMICINA 250MG/5ML GRANULOS PARA RECONSTITUIR A SUSPENSION ORAL,MEDICAMENTOS,,,C,Alta,Regresión Lineal,0.2,1.0,0.23,0.08,0.12,1.0,,0.0,0.0,63667.0,0.0,63667.0,2022-10-15,136.0,NO
110028,"EPOPROSTENOL POLVO LIOFILIZADO 1,5MG",MEDICAMENTOS,,,C,Alta,Media móvil,0.0,1.0,0.23,0.0,0.0,,,,,,,,,,NO
118494,DEXAMETASONA SOLUCIÓN OFTÁLMICA 5ML,MEDICAMENTOS,,,C,Media,XGBoost,1.28,1.0,0.23,0.24,0.54,3.0,,0.0,0.0,14795.0,0.0,44385.0,2022-07-29,59.0,NO
119580,N-ACETILCISTEINA GRANULOS PARA SUSPENCIÓN ORAL 200MG,MEDICAMENTOS,,,C,Alta,Media móvil,0.0,1.0,0.23,0.0,0.0,2.0,,2.0,0.0,209.0,0.0,418.0,,,NO
120804,CARBOXIMETILCELULOSA 0.5 % SOL. OFTALMICA ,MEDICAMENTOS,,,C,Alta,XGBoost,0.32,1.0,0.23,0.2,0.27,1.0,,0.0,0.0,4706.0,0.0,4706.0,2022-08-10,70.0,NO
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",NUTRICION,FRESENIUS,CURZ VERDE,C,Media,Media móvil,131.36,0.6,0.13,4.03,21.31,7.0,,0.0,0.0,30994.0,0.0,216958.0,2022-06-01,0.0,SI
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",NUTRICION,FRESENIUS,CURZ VERDE,C,Media,Regresión Lineal,168.64,0.6,0.13,30.67,52.85,24.0,,0.0,0.0,19504.0,0.0,468096.0,2022-06-01,0.0,SI
125690,FINASTERIDE 5MG TABLETA ,MEDICAMENTOS,,,C,Alta,XGBoost,0.29,1.0,0.23,0.1,0.16,26.0,,0.0,0.0,8127.0,0.0,211302.0,2029-11-02,2712.0,NO
129788,POSACONAZOL 100MG TABLETA,MEDICAMENTOS,SOLINSA,CRUZ VERDE,C,Alta,XGBoost,0.13,1.7,0.39,0.2,0.25,38.0,,0.0,0.0,63469.0,0.0,2411822.0,2046-01-04,8619.0,NO
131059,HIDROXICLOROQUINA SULFATO TABLETA 200MG,MEDICAMENTOS,,,C,Alta,XGBoost,90.14,1.0,0.23,13.3,34.04,35.0,,1.0,0.0,500.0,0.0,17500.0,2022-06-01,0.0,NO
131589,"TIOTROPIO BROMURO SUSPENSIÓN PARA INHALACIÓN 2,5MCG/1PUFF/60PUFF",MEDICAMENTOS,EVEDISA,CRUZ VERDE,C,Alta,XGBoost,1.32,0.7,0.16,0.32,0.54,2.0,,0.0,0.0,199306.0,0.0,398612.0,2022-07-04,34.0,NO
134746,LEVETIRACETAM SOL. INYECTABLE 500MG/5ML,MEDICAMENTOS,COBO MEDICAL,CRUZ VERDE,B,Media,Regresión Lineal,165.52,0.7,0.16,39.26,66.47,95.0,,0.0,0.0,22129.0,0.0,2102255.0,2022-06-06,5.0,NO
136905,CICLOSERINA 250MG TABLETA ,MEDICAMENTOS,,,C,Alta,XGBoost,6.22,1.0,0.23,1.08,2.52,17.0,,,0.0,0.0,0.0,0.0,2022-08-10,71.0,NO
145329,DEXMEDETOMIDINA 200MCG/2ML SOL. INYECTABLE,MEDICAMENTOS,JC,DAGO,B,Baja,XGBoost,383.96,0.6,0.13,10.0,60.49,136.0,,0.0,0.0,4550.0,0.0,618800.0,2022-06-06,6.0,NO
