producto_id,demanda_total,media,desviacion,cv,variabilidad,demanda_acumulada_pct,categoria_abc,categoria,nombre_producto,proveedor_principal,proveedor_alterno,metodo_campeon
702259,158777,13231.416666666666,735.3117407335517,0.05557316795759223,Baja,0.07884752711645401,A,DISPOSITIVOS MEDICO,JERINGA 10ML ,,,Regresión Lineal
A001011,111311,9275.916666666666,904.3265156842949,0.09749187580932289,Baja,0.1341237767675975,A,MEDICAMENTOS,ACETAMINOFEN TABLETA 500MG,,,Regresión Lineal
700543,94841,7903.416666666667,3459.090197208544,0.43767023087591367,Baja,0.1812211417464774,A,CONTROLADOS,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,AMAREY,CRUZ VERDE,XGBoost
708344,86802,7233.5,508.6628638803007,0.07032043462781512,Baja,0.2243263965929756,A,DISPOSITIVOS MEDICO,JERINGA  5ML LIBRE DE LATEX,,,Regresión Lineal
702258,86802,7233.5,508.6628638803007,0.07032043462781512,Baja,0.2674316514394738,A,DISPOSITIVOS MEDICO,JERINGA 5ML,,,Regresión Lineal
D0000030,80022,6668.5,574.5821406584411,0.08616362610158822,Baja,0.3071700065848215,A,MEDICAMENTOS,DIPIRONA 1G/2ML SOL. INYECTABLE ,,,XGBoost
703723,74104,6175.333333333333,857.8675817856671,0.13891842520549505,Baja,0.3439695250883687,A,MEDICAMENTOS,CLORURO DE SODIO 9% SOL. INYECTABLE x 100ML,FRESENIUS,BAXTER,XGBoost
702257,55290,4607.5,415.90481865664657,0.09026691669162161,Baja,0.3714261452176616,A,DISPOSITIVOS MEDICO,JERINGA 3ML,,,Regresión Lineal
702145,48010,4000.8333333333335,603.2719623901484,0.15078657672738555,Baja,0.3952675692076662,A,DISPOSITIVOS MEDICO,AGUJA 18X1.5,,,Media móvil
700809,35400,2950.0,279.03144169527826,0.09458692938822992,Baja,0.41284695702783203,A,MEDICAMENTOS,"PIPERACILINA/TAZOBACTAM POLVO LIOFILIZADO 4,5G",,,Media móvil
700895,34621,2885.0833333333335,441.7254306247333,0.153106645316334,Baja,0.430039498997379,A,MEDICAMENTOS,"AMPICILINA/SULBACTAM 1,5G POLVO LIOFILIZADO ",COBO MEDICAL,CRUZ VERDE,Media móvil
700851,32238,2686.5,565.232132522881,0.2103972203695816,Baja,0.4460486601427605,A,MEDICAMENTOS,AGUA ESTERIL PARA INYECCION 5ML,JC,DAGO,Regresión Lineal
702263,31066,2588.8333333333335,236.0862066485397,0.09119405394265358,Baja,0.46147581443714675,A,DISPOSITIVOS MEDICO,JERINGA 1ML INSULINA,,,Media móvil
703180,29843,2486.9166666666665,123.80663687110369,0.04978318675914769,Baja,0.4762956356438476,A,MEDICAMENTOS,CLORURO DE SODIO 9% SOL. INYECTABLE x 500ML,FRESENIUS,BAXTER,Media móvil
702715,27264,2272.0,141.6641354497576,0.06235217229302711,Baja,0.4898347438226329,A,MEDICAMENTOS,"ENOXAPARINA 40MG/0,4ML SOL. INYECTABLE ",JC,CRUZ VERDE,Media móvil
718219,26493,2207.75,267.7947399171101,0.12129758347508102,Baja,0.5029909788938096,A,MEDICAMENTOS,ELECTRODO ADULTO,,,Regresión Lineal
P022701,23668,1972.3333333333333,307.2441532348007,0.15577699166881903,Baja,0.5147443390895069,A,MEDICAMENTOS,POTASIO CLORURO 20MEQ/10ML SOL. INYECTABLE,,,XGBoost
