producto_id,nombre_producto,categoria,mes_pronosticado,horizonte,prediccion_xgboost,prediccion_baseline,prediccion_final,metodo_usado
0002101,OMEPRAZOL CÁPSULA 20MG,MEDICAMENTOS,2022-07,1,1686.06,1991.67,1686.06,XGBoost
0002101,OMEPRAZOL CÁPSULA 20MG,MEDICAMENTOS,2022-08,2,1741.2,1638.35,1741.2,XGBoost
0002101,OMEPRAZOL CÁPSULA 20MG,MEDICAMENTOS,2022-09,3,1727.06,1622.09,1727.06,XGBoost
0004721,OXACILINA POLVO LIOFILIZADO 1G,MEDICAMENTOS,2022-07,1,0.3,16.33,16.33,Media móvil
0004721,OXACILINA POLVO LIOFILIZADO 1G,MEDICAMENTOS,2022-08,2,0.01,5.44,5.44,Media móvil
0004721,OXACILINA POLVO LIOFILIZADO 1G,MEDICAMENTOS,2022-09,3,0.2,7.26,7.26,Media móvil
0006422,"OXIMETAZOLINA SOLUCIÓN NASAL 0,05% ",MEDICAMENTOS,2022-07,1,0.44,1.33,1.33,Media móvil
0006422,"OXIMETAZOLINA SOLUCIÓN NASAL 0,05% ",MEDICAMENTOS,2022-08,2,0.3,1.44,1.44,Media móvil
0006422,"OXIMETAZOLINA SOLUCIÓN NASAL 0,05% ",MEDICAMENTOS,2022-09,3,0.64,0.93,0.64,XGBoost
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",MEDICAMENTOS,2022-07,1,181.44,170.67,181.44,XGBoost
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",MEDICAMENTOS,2022-08,2,173.05,170.48,173.05,XGBoost
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",MEDICAMENTOS,2022-09,3,187.18,162.5,187.18,XGBoost
103662,PALIVIZUMAB POLVO LIOFILIZADO 50 MG,MEDICAMENTOS,2022-07,1,2.06,1.33,2.06,XGBoost
103662,PALIVIZUMAB POLVO LIOFILIZADO 50 MG,MEDICAMENTOS,2022-08,2,1.51,2.02,1.51,XGBoost
103662,PALIVIZUMAB POLVO LIOFILIZADO 50 MG,MEDICAMENTOS,2022-09,3,2.2,1.52,2.2,XGBoost
105719,CLARITROMICINA 250MG/5ML GRANULOS PARA RECONSTITUIR A SUSPENSION ORAL,MEDICAMENTOS,2022-07,1,0.28,0.33,0.28,XGBoost
105719,CLARITROMICINA 250MG/5ML GRANULOS PARA RECONSTITUIR A SUSPENSION ORAL,MEDICAMENTOS,2022-08,2,0.3,0.09,0.3,XGBoost
105719,CLARITROMICINA 250MG/5ML GRANULOS PARA RECONSTITUIR A SUSPENSION ORAL,MEDICAMENTOS,2022-09,3,0.3,0.19,0.3,XGBoost
110028,"EPOPROSTENOL POLVO LIOFILIZADO 1,5MG",MEDICAMENTOS,2022-07,1,0.28,0.0,0.28,XGBoost
110028,"EPOPROSTENOL POLVO LIOFILIZADO 1,5MG",MEDICAMENTOS,2022-08,2,0.35,0.09,0.35,XGBoost
110028,"EPOPROSTENOL POLVO LIOFILIZADO 1,5MG",MEDICAMENTOS,2022-09,3,0.35,0.21,0.35,XGBoost
118494,DEXAMETASONA SOLUCIÓN OFTÁLMICA 5ML,MEDICAMENTOS,2022-07,1,1.13,2.0,2.0,Media móvil
118494,DEXAMETASONA SOLUCIÓN OFTÁLMICA 5ML,MEDICAMENTOS,2022-08,2,1.12,1.67,1.67,Media móvil
118494,DEXAMETASONA SOLUCIÓN OFTÁLMICA 5ML,MEDICAMENTOS,2022-09,3,1.33,2.22,2.22,Media móvil
119580,N-ACETILCISTEINA GRANULOS PARA SUSPENCIÓN ORAL 200MG,MEDICAMENTOS,2022-07,1,0.24,0.0,0.24,XGBoost
119580,N-ACETILCISTEINA GRANULOS PARA SUSPENCIÓN ORAL 200MG,MEDICAMENTOS,2022-08,2,0.25,0.08,0.25,XGBoost
119580,N-ACETILCISTEINA GRANULOS PARA SUSPENCIÓN ORAL 200MG,MEDICAMENTOS,2022-09,3,0.25,0.16,0.25,XGBoost
120804,CARBOXIMETILCELULOSA 0.5 % SOL. OFTALMICA ,MEDICAMENTOS,2022-07,1,0.08,0.67,0.67,Media móvil
120804,CARBOXIMETILCELULOSA 0.5 % SOL. OFTALMICA ,MEDICAMENTOS,2022-08,2,0.14,0.22,0.14,XGBoost
120804,CARBOXIMETILCELULOSA 0.5 % SOL. OFTALMICA ,MEDICAMENTOS,2022-09,3,0.14,0.27,0.14,XGBoost
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",NUTRICION,2022-07,1,52.58,126.67,126.67,Media móvil
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",NUTRICION,2022-08,2,29.06,140.89,140.89,Media móvil
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",NUTRICION,2022-09,3,35.84,126.52,126.52,Media móvil
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",NUTRICION,2022-07,1,94.65,114.33,114.33,Media móvil
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",NUTRICION,2022-08,2,117.63,116.78,116.78,Media móvil
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",NUTRICION,2022-09,3,47.35,152.7,152.7,Media móvil
125690,FINASTERIDE 5MG TABLETA ,MEDICAMENTOS,2022-07,1,0.29,0.0,0.29,XGBoost
125690,FINASTERIDE 5MG TABLETA ,MEDICAMENTOS,2022-08,2,0.14,0.1,0.14,XGBoost
125690,FINASTERIDE 5MG TABLETA ,MEDICAMENTOS,2022-09,3,0.44,0.14,0.44,XGBoost
129788,POSACONAZOL 100MG TABLETA,MEDICAMENTOS,2022-07,1,0.0,0.0,0.0,XGBoost
129788,POSACONAZOL 100MG TABLETA,MEDICAMENTOS,2022-08,2,0.0,0.0,0.0,XGBoost
129788,POSACONAZOL 100MG TABLETA,MEDICAMENTOS,2022-09,3,0.4,0.0,0.4,XGBoost
