producto_id,nombre_producto,categoria,categoria_abc,variabilidad,metodo_pronostico,demanda_promedio_mensual_pronosticada,lead_time_semanas,lead_time_meses,stock_seguridad,punto_reorden,inventario_actual,eoq,limite_presupuesto_unidades,cantidad_sugerida_pedido,fecha_estimada_pedido,dias_para_pedido,ordenar
0002101,OMEPRAZOL CÁPSULA 20MG,MEDICAMENTOS,A,Baja,XGBoost,1718.11,1.0,0.23,18.51,413.93,481.0,,15.0,0.0,2022-06-02,1.0,NO
0004721,OXACILINA POLVO LIOFILIZADO 1G,MEDICAMENTOS,C,Alta,XGBoost,9.68,1.0,0.23,3.77,6.0,21.0,,0.0,0.0,2022-07-18,47.0,NO
0006422,"OXIMETAZOLINA SOLUCIÓN NASAL 0,05% ",MEDICAMENTOS,C,Alta,XGBoost,1.14,1.0,0.23,0.28,0.54,2.0,,0.0,0.0,2022-07-10,39.0,NO
100317,"LACTULOSA SOLUCIÓN ORAL 66,7%/15ML",MEDICAMENTOS,B,Baja,XGBoost,180.56,1.0,0.23,4.59,46.15,43.0,,0.0,3.15,2022-06-01,0.0,SI
103662,PALIVIZUMAB POLVO LIOFILIZADO 50 MG,MEDICAMENTOS,C,Alta,XGBoost,1.92,1.0,0.23,0.24,0.68,2.0,,0.0,0.0,2022-06-21,21.0,NO
105719,CLARITROMICINA 250MG/5ML GRANULOS PARA RECONSTITUIR A SUSPENSION ORAL,MEDICAMENTOS,C,Alta,XGBoost,0.29,1.0,0.23,0.01,0.07,1.0,,0.0,0.0,2022-09-04,96.0,NO
110028,"EPOPROSTENOL POLVO LIOFILIZADO 1,5MG",MEDICAMENTOS,C,Alta,XGBoost,0.33,1.0,0.23,0.03,0.1,,,,,,,NO
118494,DEXAMETASONA SOLUCIÓN OFTÁLMICA 5ML,MEDICAMENTOS,C,Media,Media móvil,1.96,1.0,0.23,0.18,0.63,3.0,,0.0,0.0,2022-07-07,37.0,NO
119580,N-ACETILCISTEINA GRANULOS PARA SUSPENCIÓN ORAL 200MG,MEDICAMENTOS,C,Alta,XGBoost,0.25,1.0,0.23,0.0,0.06,2.0,,2.0,0.0,2023-01-26,239.0,NO
120804,CARBOXIMETILCELULOSA 0.5 % SOL. OFTALMICA ,MEDICAMENTOS,C,Alta,XGBoost,0.32,1.0,0.23,0.2,0.27,1.0,,0.0,0.0,2022-08-10,70.0,NO
120898,"FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO LÍQUIDO ",NUTRICION,C,Media,Media móvil,131.36,1.0,0.23,5.33,35.57,7.0,,0.0,28.57,2022-06-01,0.0,SI
120900,"(FRESUBIN HP ENERGY SOLUCIÓN ORAL 1,5KCAL/1ML (750KCAL/500ML)) ALIMENTO LÍQUIDO ",NUTRICION,C,Media,Media móvil,127.94,1.0,0.23,13.88,43.33,24.0,,0.0,19.33,2022-06-01,0.0,SI
125690,FINASTERIDE 5MG TABLETA ,MEDICAMENTOS,C,Alta,XGBoost,0.29,1.0,0.23,0.1,0.16,26.0,,0.0,0.0,2029-11-02,2712.0,NO
129788,POSACONAZOL 100MG TABLETA,MEDICAMENTOS,C,Alta,XGBoost,0.13,1.0,0.23,0.15,0.18,38.0,,0.0,0.0,2046-01-20,8634.0,NO
131059,HIDROXICLOROQUINA SULFATO TABLETA 200MG,MEDICAMENTOS,C,Alta,XGBoost,90.14,1.0,0.23,13.3,34.04,35.0,,1.0,0.0,2022-06-01,0.0,NO
131589,"TIOTROPIO BROMURO SUSPENSIÓN PARA INHALACIÓN 2,5MCG/1PUFF/60PUFF",MEDICAMENTOS,C,Alta,XGBoost,1.32,1.0,0.23,0.38,0.69,2.0,,0.0,0.0,2022-07-01,30.0,NO
134746,LEVETIRACETAM SOL. INYECTABLE 500MG/5ML,MEDICAMENTOS,B,Media,XGBoost,201.89,1.0,0.23,21.86,68.32,95.0,,0.0,0.0,2022-06-05,4.0,NO
136905,CICLOSERINA 250MG TABLETA ,MEDICAMENTOS,C,Alta,XGBoost,6.22,1.0,0.23,1.08,2.52,17.0,,,0.0,2022-08-10,71.0,NO
145329,DEXMEDETOMIDINA 200MCG/2ML SOL. INYECTABLE,MEDICAMENTOS,B,Baja,XGBoost,383.96,1.0,0.23,13.22,101.59,136.0,,0.0,0.0,2022-06-03,3.0,NO
145537,CISATRACURIO 10MG/5ML SOL. INYECTABLE,MEDICAMENTOS,C,Alta,XGBoost,52.55,1.0,0.23,9.16,21.25,0.0,,,21.25,2022-06-01,0.0,SI
145933,LEVOTIROXINA SODICA TABLETA 25MCG,MEDICAMENTOS,B,Baja,XGBoost,84.71,1.0,0.23,2.77,22.27,37.0,,13.0,0.0,2022-06-06,5.0,NO
151766,CLOBAZAM TABLETA 10 MG ,CONTROLADOS,C,Alta,XGBoost,29.7,1.0,0.23,15.39,22.22,149.0,,0.0,0.0,2022-10-08,130.0,NO
152912,PARACETAMOL SOLUCIÓN INYECTABLE 1G/100ML,MEDICAMENTOS,C,Media,Media móvil,7.11,1.0,0.23,2.18,3.82,21.0,,0.0,0.0,2022-08-13,74.0,NO
153257,ANFOTERICINA B LIPOSOMAL 50MG POLVO LIOFILIZADO 50MG,MEDICAMENTOS,C,Media,Media móvil,49.45,1.0,0.23,4.21,15.6,42.0,,0.0,0.0,2022-06-17,16.0,NO
157471,OCTEOTRIDE ACETATO SOLUCIÓN INYECTABLE 20MG,MEDICAMENTOS,C,Alta,XGBoost,12.18,1.0,0.23,4.41,7.21,27.0,,0.0,0.0,2022-07-20,49.0,NO
160729,LEVETIRACETAM 1000MG TABLETA,MEDICAMENTOS,C,Alta,XGBoost,5.73,1.0,0.23,2.23,3.55,,,,,,,NO
162236,INSULINA DEGLUDEC SOL. INYECTABLE 100UI/ML x 3 ML,MEDICAMENTOS,C,Media,Media móvil,4.34,1.0,0.23,0.06,1.06,1.0,,0.0,0.06,2022-06-01,0.0,SI
162378,ACETAMINOFEN/HIDROCODONA TABLETA 325MG/5MG,MEDICAMENTOS,C,Alta,XGBoost,0.51,1.0,0.23,0.0,0.12,0.0,,,0.12,2022-06-01,0.0,SI
162558,LEVOFLOXACINA SOLUCIÓN INYECTABLE 500MG/100ML,MEDICAMENTOS,C,Alta,XGBoost,14.58,1.0,0.23,1.38,4.74,14.0,,0.0,0.0,2022-06-20,19.0,NO
162958,INDACATEROL/GLICOPIRRONIO POLVO PARA INHALACIÓN EN CÁPSULA 110MCG/50MCG,MEDICAMENTOS,C,Alta,XGBoost,9.02,1.0,0.23,3.99,6.07,26.0,,0.0,0.0,2022-08-07,67.0,NO
164333,FOSFOMICINA DISODICA 4G POLVO LIOFILIZADO ,MEDICAMENTOS,C,Alta,XGBoost,5.99,1.0,0.23,0.32,1.7,21.0,,0.0,0.0,2022-09-07,98.0,NO
171762,"NEPRO BP SOLUCIÓN ORAL 1,8KCAL/1ML (426,6KCAL/237ML)) ALIMENTO PARA PROPÓSITOS",NUTRICION,C,Media,Media móvil,16.92,1.0,0.23,1.39,5.29,48.0,,0.0,0.0,2022-08-16,77.0,NO
19973360,DOBUTAMINA 250MG/20ML SOL. INYECTABLE,MEDICAMENTOS,C,Baja,Media móvil,36.81,1.0,0.23,1.87,10.35,21.0,,0.0,0.0,2022-06-09,9.0,NO
200061,SENSOR NEONATAL ADHESIVO M-LNCS PARA EQUIPOS  MARCA MASIMO,DISPOSITIVOS MEDICO,C,Alta,XGBoost,1.06,1.0,0.23,0.35,0.59,0.0,,,0.59,2022-06-01,0.0,SI
200072,SENSOR SPO2 NEONATAL EM0602,DISPOSITIVOS MEDICO,C,Alta,XGBoost,0.13,1.0,0.23,0.02,0.05,,,,,,,NO
2001990802,SACCHAROMYCES BOULARDII POLVO PARA SUSPENSIÓN ORAL 250MG,MEDICAMENTOS,C,Alta,XGBoost,2.97,1.0,0.23,0.58,1.27,20.0,,0.0,0.0,2022-12-10,192.0,NO
20039341,TICAGRELOR TABLETA 90MG,MEDICAMENTOS,C,Alta,XGBoost,0.86,1.0,0.23,0.1,0.3,23.0,,0.0,0.0,2024-08-09,800.0,NO
6421,"OXIMETAZOLINA SOLUCIÓN NASAL 0, 025% ",MEDICAMENTOS,C,Alta,XGBoost,0.38,1.0,0.23,0.16,0.25,3.0,,0.0,0.0,2023-01-05,218.0,NO
700010,NIFEDIPINO CÁPSULA 10MG,MEDICAMENTOS,B,Media,XGBoost,156.52,1.0,0.23,15.91,51.93,106.0,,3.0,0.0,2022-06-11,11.0,NO
700021,ALFAMETILDOPA TABLETA 250MG,MEDICAMENTOS,C,Media,Media móvil,14.19,1.0,0.23,1.68,4.94,31.0,,3.0,0.0,2022-07-26,56.0,NO
700067,TRIMETOPRIM/SULFAMETOXAZOL TABLETA 160MG/800MG,MEDICAMENTOS,C,Baja,Media móvil,81.28,1.0,0.23,4.9,23.61,43.0,,10.0,0.0,2022-06-08,7.0,NO
700131,CLOTRIMAZOL 100MG TABLETA VAGINAL,MEDICAMENTOS,C,Alta,XGBoost,1.77,1.0,0.23,0.06,0.47,11.0,,5.0,0.0,2022-11-28,181.0,NO
700142,WARFARINA SODICA TABLETA 5MG,MEDICAMENTOS,C,Baja,Media móvil,23.55,1.0,0.23,2.41,7.83,39.0,,27.0,0.0,2022-07-11,40.0,NO
700145,DIOSMINA TABLETA 500MG,MEDICAMENTOS,C,Alta,XGBoost,6.92,1.0,0.23,1.2,2.8,10.0,,1.0,0.0,2022-07-02,32.0,NO
700203,MUPIROCINA UNGÜENTO TÓPICO 2%/15G,MEDICAMENTOS,C,Alta,XGBoost,0.31,1.0,0.23,0.09,0.17,1.0,,0.0,0.0,2022-08-22,83.0,NO
