producto_id,demanda_total,media,desviacion,cv,variabilidad,demanda_acumulada_pct,categoria_abc,usar_ml,categoria,nombre_producto
702259,158777,13231.416666666666,735.3117407335517,0.05557316795759223,Baja,0.07884752711645401,A,True,DISPOSITIVOS MEDICO,JERINGA 10ML 
A001011,111311,9275.916666666666,904.3265156842949,0.09749187580932289,Baja,0.1341237767675975,A,True,MEDICAMENTOS,ACETAMINOFEN TABLETA 500MG
700543,94841,7903.416666666667,3459.090197208544,0.43767023087591367,Baja,0.1812211417464774,A,True,CONTROLADOS,MIDAZOLAM 5MG/5ML SOL. INYECTABLE
708344,86802,7233.5,508.6628638803007,0.07032043462781512,Baja,0.2243263965929756,A,True,DISPOSITIVOS MEDICO,JERINGA  5ML LIBRE DE LATEX
702258,86802,7233.5,508.6628638803007,0.07032043462781512,Baja,0.2674316514394738,A,True,DISPOSITIVOS MEDICO,JERINGA 5ML
D0000030,80022,6668.5,574.5821406584411,0.08616362610158822,Baja,0.3071700065848215,A,True,MEDICAMENTOS,DIPIRONA 1G/2ML SOL. INYECTABLE 
703723,74104,6175.333333333333,857.8675817856671,0.13891842520549505,Baja,0.3439695250883687,A,True,MEDICAMENTOS,CLORURO DE SODIO 9% SOL. INYECTABLE x 100ML
702257,55290,4607.5,415.90481865664657,0.09026691669162161,Baja,0.3714261452176616,A,True,DISPOSITIVOS MEDICO,JERINGA 3ML
702145,48010,4000.8333333333335,603.2719623901484,0.15078657672738555,Baja,0.3952675692076662,A,True,DISPOSITIVOS MEDICO,AGUJA 18X1.5
700809,35400,2950.0,279.03144169527826,0.09458692938822992,Baja,0.41284695702783203,A,True,MEDICAMENTOS,"PIPERACILINA/TAZOBACTAM POLVO LIOFILIZADO 4,5G"
700895,34621,2885.0833333333335,441.7254306247333,0.153106645316334,Baja,0.430039498997379,A,True,MEDICAMENTOS,"AMPICILINA/SULBACTAM 1,5G POLVO LIOFILIZADO "
700851,32238,2686.5,565.232132522881,0.2103972203695816,Baja,0.4460486601427605,A,True,MEDICAMENTOS,AGUA ESTERIL PARA INYECCION 5ML
702263,31066,2588.8333333333335,236.0862066485397,0.09119405394265358,Baja,0.46147581443714675,A,True,DISPOSITIVOS MEDICO,JERINGA 1ML INSULINA
703180,29843,2486.9166666666665,123.80663687110369,0.04978318675914769,Baja,0.4762956356438476,A,True,MEDICAMENTOS,CLORURO DE SODIO 9% SOL. INYECTABLE x 500ML
702715,27264,2272.0,141.6641354497576,0.06235217229302711,Baja,0.4898347438226329,A,True,MEDICAMENTOS,"ENOXAPARINA 40MG/0,4ML SOL. INYECTABLE "
718219,26493,2207.75,267.7947399171101,0.12129758347508102,Baja,0.5029909788938096,A,True,MEDICAMENTOS,ELECTRODO ADULTO
P022701,23668,1972.3333333333333,307.2441532348007,0.15577699166881903,Baja,0.5147443390895069,A,True,MEDICAMENTOS,POTASIO CLORURO 20MEQ/10ML SOL. INYECTABLE
730058,22909,1909.0833333333333,181.42088600485852,0.09503036501192991,Baja,0.5261207852921108,A,True,DISPOSITIVOS MEDICO,EQUIPO BOMBA SIN AGUJA
L021161,22637,1886.4166666666667,126.75564060128619,0.06719387229824775,Baja,0.5373621582323678,A,True,MEDICAMENTOS,LOSARTAN TABLETA 50MG
0002101,21989,1832.4166666666667,326.75385741155884,0.17831853603796016,Baja,0.5482817389887978,A,True,MEDICAMENTOS,OMEPRAZOL CÁPSULA 20MG
R001701,20545,1712.0833333333333,283.40060253138404,0.16552967779881278,Baja,0.5584842396318856,A,True,MEDICAMENTOS,RANITIDINA SOL. INYECTABLE 50MG/2ML
703775,19217,1601.4166666666667,166.86491996567617,0.10419831605287579,Baja,0.568027264935279,A,True,MEDICAMENTOS,HARTMAN SOLUCION INYECTABLE 1000 ML
V013721,18881,1573.4166666666667,213.88036517188905,0.13593371018816103,Baja,0.5774034350322438,A,True,MEDICAMENTOS,VANCOMICINA 500MG POLVO LIOFILIZADO 
720068,18720,1560.0,341.407248152275,0.21885080009761215,Baja,0.5866996536761281,A,True,DISPOSITIVOS MEDICO,TEGADERM 1683 IV 6.5X7CM ADVANCED
700634,18491,1540.9166666666667,335.55529508652677,0.21776342766958634,Baja,0.5958821525513452,A,True,MEDICAMENTOS,MEROPENEM POLVO LIOFILIZADO 1000 MG
