fecha,producto_id,nombre_producto,demanda,categoria,lead_time_semanas,costo_unitario,inventario
2021-07-31,0002101,OMEPRAZOL CÁPSULA 20MG,1991,MEDICAMENTOS,1.0,37.0,481.0
2021-08-31,0002101,OMEPRAZOL CÁPSULA 20MG,1911,MEDICAMENTOS,1.0,37.0,481.0
2021-09-30,0002101,OMEPRAZOL CÁPSULA 20MG,1750,MEDICAMENTOS,1.0,37.0,481.0
2021-10-31,0002101,OMEPRAZOL CÁPSULA 20MG,1834,MEDICAMENTOS,1.0,37.0,481.0
2021-11-30,0002101,OMEPRAZOL CÁPSULA 20MG,1663,MEDICAMENTOS,1.0,37.0,481.0
2021-12-31,0002101,OMEPRAZOL CÁPSULA 20MG,1509,MEDICAMENTOS,1.0,37.0,481.0
2022-01-31,0002101,OMEPRAZOL CÁPSULA 20MG,1747,MEDICAMENTOS,1.0,37.0,481.0
2022-02-28,0002101,OMEPRAZOL CÁPSULA 20MG,1843,MEDICAMENTOS,1.0,37.0,481.0
2022-03-31,0002101,OMEPRAZOL CÁPSULA 20MG,1766,MEDICAMENTOS,1.0,37.0,481.0
2022-04-30,0002101,OMEPRAZOL CÁPSULA 20MG,2746,MEDICAMENTOS,1.0,37.0,481.0
2022-05-31,0002101,OMEPRAZOL CÁPSULA 20MG,1790,MEDICAMENTOS,1.0,37.0,481.0
2022-06-30,0002101,OMEPRAZOL CÁPSULA 20MG,1439,MEDICAMENTOS,1.0,37.0,481.0
2021-07-31,0004721,OXACILINA POLVO LIOFILIZADO 1G,0,MEDICAMENTOS,1.0,1077.0,21.0
2021-08-31,0004721,OXACILINA POLVO LIOFILIZADO 1G,12,MEDICAMENTOS,1.0,1077.0,21.0
2021-09-30,0004721,OXACILINA POLVO LIOFILIZADO 1G,0,MEDICAMENTOS,1.0,1077.0,21.0
2021-10-31,0004721,OXACILINA POLVO LIOFILIZADO 1G,8,MEDICAMENTOS,1.0,1077.0,21.0
