,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
CODIGO ACT.,ACTIVIDAD,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,PROM,PROM_ATIP,R2,REGR DIA,PROM DIA,MIN DIA,MAX DIA,CV,SUAV_EXP,MOD,%,% ACUM,ABC,GRAFICA
702259,JERINGA 10ML ,13655,13436,12323,12839,13426,13212,14570,12278,12668,14456,12815,13099,13232,0,"0,00",442,442,410,486,"0,0532",441,PROM,"7,9%","7,9%",A,
A001011,ACETAMINOFEN TABLETA 500MG,7787,8210,9695,10554,9789,9712,9608,9833,8641,10152,9387,7943,9276,0,"0,01",314,310,260,352,"0,0933",308,PROM,"5,5%","13,4%",A,
700543,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,8089,4770,4243,6617,5629,9094,10918,6803,5446,5115,13713,14404,7904,0,"0,32",382,264,264,481,"0,4190",264,SUAV,"4,7%","18,1%",A,
702258,JERINGA 5ML,6291,7087,7166,7500,7609,8076,7897,7294,6934,7336,7030,6582,7234,0,"0,00",242,242,210,270,"0,0673",241,PROM,"4,3%","22,4%",A,
708344,JERINGA  5ML LIBRE DE LATEX,6291,7087,7166,7500,7609,8076,7897,7294,6934,7336,7030,6582,7234,0,"0,00",242,242,210,270,"0,0673",241,PROM,"4,3%","26,7%",A,
D0000030,DIPIRONA 1G/2ML SOL. INYECTABLE ,6144,6957,6825,6310,7029,6822,7367,7002,6996,7193,5868,5509,6669,0,"0,05",215,223,184,246,"0,0825",222,PROM,"4,0%","30,7%",A,
703723,CLORURO DE SODIO 9% SOL. INYECTABLE x 100ML,6240,6164,5994,6023,6257,6502,5765,4928,5789,5037,7493,7912,6176,0,"0,07",220,206,165,264,"0,1330",208,PROM,"3,7%","34,4%",A,
702257,JERINGA 3ML,4916,5089,4718,4974,4793,4858,4859,4440,4002,4734,3990,3917,4608,0,"0,66",134,154,131,170,"0,0864",155,PROM,"2,7%","37,1%",A,
702145,AGUJA 18X1.5,3694,3060,3911,4805,4889,4470,3757,3102,3757,4461,3723,4381,4001,0,"0,02",138,134,102,163,"0,1444",135,PROM,"2,4%","39,5%",A,
700809,"PIPERACILINA/TAZOBACTAM POLVO LIOFILIZADO 4,5G",2913,2933,2846,2969,2836,3296,3440,2773,2384,2756,3030,3224,2950,0,"0,00",99,99,80,115,"0,0906",99,PROM,"1,8%","41,3%",A,
700895,"AMPICILINA/SULBACTAM 1,5G POLVO LIOFILIZADO ",3381,3291,2653,2201,3062,2928,2684,2444,2258,3338,3474,2907,2886,0,"0,00",96,97,74,116,"0,1465",97,PROM,"1,7%","43,0%",A,
702263,JERINGA 1ML INSULINA,2593,2619,2359,2528,2913,2383,2609,2423,2356,2743,2426,3114,2589,0,"0,06",90,87,79,104,"0,0873",87,PROM,"1,5%","44,5%",A,
703180,CLORURO DE SODIO 9% SOL. INYECTABLE x 500ML,2452,2488,2176,2614,2581,2476,2669,2479,2564,2474,2456,2414,2487,0,"0,01",84,83,73,89,"0,0477",83,PROM,"1,5%","46,0%",A,
700851,AGUA ESTERIL PARA INYECCION 5ML,2479,2600,1807,2075,2630,2741,3407,3229,2702,3791,2611,2166,2687,0,"0,13",102,90,90,127,"0,2014",88,SUAV,"1,6%","47,6%",A,
702715,"ENOXAPARINA 40MG/0,4ML SOL. INYECTABLE ",2541,2072,2117,2361,2284,2279,2428,2270,2077,2293,2189,2353,2272,0,"0,01",75,76,70,85,"0,0597",76,PROM,"1,4%","49,0%",A,
718219,ELECTRODO ADULTO,2160,2571,2650,2484,2101,1878,2199,1862,2196,2400,1906,2086,2208,0,"0,24",66,74,63,89,"0,1161",74,PROM,"1,3%","50,3%",A,
P022701,POTASIO CLORURO 20MEQ/10ML SOL. INYECTABLE,2023,1694,1689,1707,1844,2038,2478,1897,2620,1786,2133,1759,1973,0,"0,08",71,66,57,88,"0,1491",65,PROM,"1,2%","51,5%",A,
730058,EQUIPO BOMBA SIN AGUJA,2016,2082,2074,2127,1803,1799,2003,1657,1676,2119,1685,1868,1910,0,"0,26",59,64,56,71,"0,0909",64,PROM,"1,1%","52,6%",A,
L021161,LOSARTAN TABLETA 50MG,1878,2084,1843,1692,1671,2047,1965,1896,1982,1797,1857,1925,1887,0,"0,00",64,63,56,70,"0,0643",63,PROM,"1,1%","53,7%",A,
0002101,OMEPRAZOL CÁPSULA 20MG,1991,1911,1750,1834,1663,1509,1747,1843,1766,2746,1790,1439,1833,0,"0,00",62,62,48,92,"0,1707",61,SUAV,"1,1%","54,8%",A,
R001701,RANITIDINA SOL. INYECTABLE 50MG/2ML,2175,1951,1546,1769,1634,2081,1923,1759,1500,1597,1268,1342,1713,0,"0,51",45,58,43,73,"0,1584",58,SUAV,"1,0%","55,8%",A,
703775,HARTMAN SOLUCION INYECTABLE 1000 ML,1384,1638,1664,1552,1521,1657,1657,1613,1603,2037,1436,1455,1602,0,"0,03",55,54,47,68,"0,0997",54,PROM,"1,0%","56,8%",A,
V013721,VANCOMICINA 500MG POLVO LIOFILIZADO ,1336,1228,1477,1519,1492,1609,1922,1587,1736,1887,1716,1372,1574,0,"0,30",60,53,41,65,"0,1301",52,PROM,"0,9%","57,7%",A,
720068,TEGADERM 1683 IV 6.5X7CM ADVANCED,1232,1558,1830,1771,1563,1626,1913,1676,1680,616,1633,1622,1560,0,"0,02",50,52,52,64,"0,2095",53,SUAV,"0,9%","58,7%",A,
700634,MEROPENEM POLVO LIOFILIZADO 1000 MG,1456,1319,1304,1149,1155,1230,1771,1808,2256,1538,1724,1781,1541,0,"0,40",65,52,39,76,"0,2085",51,SUAV,"0,9%","59,6%",A,
702211,CATETER INTRAVENOSO 22G X 1 ,1423,1508,1724,1670,1412,1341,1568,1250,1394,1517,1426,1389,1469,0,"0,15",46,49,42,58,"0,0885",50,PROM,"0,9%","60,5%",A,
717519,OMEPRAZOL POLVO LIOFILIZADO 40MG,1080,1182,1417,1263,1291,1269,1448,1306,1410,1555,1682,1924,1403,0,"0,74",59,47,36,65,"0,1577",47,SUAV,"0,8%","61,3%",A,
702264,JERINGA DE GASES (JERINGA HEPARINIZADA),1209,1247,1221,1129,1323,1312,1697,1290,1374,1389,1266,1762,1352,0,"0,35",52,46,38,59,"0,1352",46,PROM,"0,8%","62,1%",A,
S004702,SODIO CLORURO SOL. INYECTABLE 20MEQ/10ML,612,1259,1228,1204,1574,1503,1627,1497,1345,1463,1454,1405,1348,0,"0,36",55,45,45,55,"0,1901",45,SUAV,"0,8%","62,9%",A,
702382,EXTENSION DE ANESTESIA ADULTO ,1490,1315,1317,1329,1187,1103,1199,1079,1156,1326,1077,1103,1224,0,"0,52",36,41,36,50,"0,1022",41,PROM,"0,7%","63,6%",A,
703735,CLORURO DE SODIO 9% SOL. INYECTABLE x 1000ML,1040,1123,985,941,1114,1370,1154,1005,1187,945,1174,1052,1091,0,"0,01",38,37,32,46,"0,1078",37,PROM,"0,7%","64,3%",A,
703645,NIFEDIPINO CÁPSULA 30MG,867,755,678,798,919,923,1410,852,1258,952,1610,2034,1088,0,"0,60",56,37,37,68,"0,3601",37,SUAV,"0,6%","64,9%",A,
703178,CLORURO DE SODIO 9% SOL. INYECTABLE x 250ML,998,1027,964,952,1141,1087,1307,942,1375,1130,1001,1055,1082,0,"0,09",39,37,32,46,"0,1223",36,PROM,"0,6%","65,6%",A,
T020701,TRAMADOL SOL. INYECTABLE 50MG/1ML,1020,1030,938,1124,1334,1288,1110,1105,1025,930,890,1032,1069,0,"0,06",34,36,30,45,"0,1207",36,PROM,"0,6%","66,2%",A,
700883,"FENTANYL 0,5MG/10ML SOL. INYECTABLE",1136,842,657,863,750,1187,1331,932,696,832,1636,1747,1051,0,"0,27",47,36,36,59,"0,3300",36,SUAV,"0,6%","66,8%",A,
M016701,METOCLOPRAMIDA SOLUCIÓN INYECTABLE 10MG/2ML,943,1201,1133,1193,1262,1000,992,1071,1101,1305,727,546,1040,0,"0,23",29,35,35,44,"0,2035",35,SUAV,"0,6%","67,5%",A,
702377,BURETROL,1222,1337,1247,1314,1060,846,921,847,783,1291,681,744,1025,0,"0,52",24,35,23,45,"0,2308",35,SUAV,"0,6%","68,1%",A,
