producto_id,mes_pronosticado,prediccion_xgboost,prediccion_baseline,prediccion_final,metodo_usado
1001,2024-01,0.0,46.67,0.0,XGBoost
1002,2024-01,0.07,31.0,0.07,XGBoost
1003,2024-01,0.1,19.33,0.1,XGBoost
1004,2024-01,0.04,4.0,0.04,XGBoost
1005,2024-01,0.08,33.0,0.08,XGBoost
1006,2024-01,0.0,7.33,0.0,XGBoost
1007,2024-01,0.0,0.0,0.0,XGBoost
1008,2024-01,0.09,41.0,0.09,XGBoost
1009,2024-01,0.0,4.67,0.0,XGBoost
1010,2024-01,0.0,16.67,0.0,XGBoost
1011,2024-01,0.27,4.33,0.27,XGBoost
1012,2024-01,0.04,22.67,0.04,XGBoost
1013,2024-01,0.0,22.0,0.0,XGBoost
1014,2024-01,0.0,26.33,0.0,XGBoost
1015,2024-01,0.07,8.0,0.07,XGBoost
1016,2024-01,0.0,20.33,0.0,XGBoost
1017,2024-01,0.29,11.33,0.29,XGBoost
1018,2024-01,0.0,0.0,0.0,XGBoost
1019,2024-01,0.0,49.33,0.0,XGBoost
1020,2024-01,0.0,15.0,0.0,XGBoost
1021,2024-01,0.13,15.33,0.13,XGBoost
1022,2024-01,0.03,13.0,0.03,XGBoost
1023,2024-01,0.0,29.67,0.0,XGBoost
1024,2024-01,0.2,21.67,0.2,XGBoost
1025,2024-01,0.09,27.67,0.09,XGBoost
1026,2024-01,0.0,27.0,0.0,XGBoost
1027,2024-01,0.0,0.0,0.0,XGBoost
1028,2024-01,0.0,22.33,0.0,XGBoost
1029,2024-01,0.0,12.33,0.0,XGBoost
1030,2024-01,0.0,21.0,0.0,XGBoost
1031,2024-01,0.18,7.33,0.18,XGBoost
1032,2024-01,0.0,21.67,0.0,XGBoost
1033,2024-01,0.0,42.33,0.0,XGBoost
1034,2024-01,0.05,11.33,0.05,XGBoost
1035,2024-01,0.0,0.33,0.0,XGBoost
1036,2024-01,0.0,35.67,0.0,XGBoost
1037,2024-01,0.0,10.67,0.0,XGBoost
1038,2024-01,0.02,10.67,0.02,XGBoost
1039,2024-01,0.78,0.0,0.78,XGBoost
1040,2024-01,0.01,15.67,0.01,XGBoost
1041,2024-01,0.0,13.33,0.0,XGBoost
1042,2024-01,0.0,0.0,0.0,XGBoost
1043,2024-01,0.0,14.33,0.0,XGBoost
1044,2024-01,0.03,5.67,0.03,XGBoost
1045,2024-01,0.0,22.0,0.0,XGBoost
1046,2024-01,0.12,0.0,0.12,XGBoost
1047,2024-01,0.35,14.33,0.35,XGBoost
1048,2024-01,0.0,16.0,0.0,XGBoost
1049,2024-01,0.0,35.33,0.0,XGBoost
1050,2024-01,0.0,9.33,0.0,XGBoost
1051,2024-01,0.0,38.67,0.0,XGBoost
1052,2024-01,0.0,41.67,0.0,XGBoost
1053,2024-01,0.0,56.33,0.0,XGBoost
1054,2024-01,0.17,21.33,0.17,XGBoost
1055,2024-01,0.0,18.0,0.0,XGBoost
1056,2024-01,0.01,9.67,0.01,XGBoost
1057,2024-01,0.08,32.33,0.08,XGBoost
1058,2024-01,0.0,45.67,0.0,XGBoost
1059,2024-01,0.23,15.0,0.23,XGBoost
1060,2024-01,0.0,41.33,0.0,XGBoost
1061,2024-01,0.16,38.0,0.16,XGBoost
1062,2024-01,0.32,41.67,0.32,XGBoost
1063,2024-01,0.0,30.33,0.0,XGBoost
1064,2024-01,0.0,11.67,0.0,XGBoost
1065,2024-01,0.0,16.0,0.0,XGBoost
1066,2024-01,0.0,1.33,0.0,XGBoost
1067,2024-01,0.25,0.0,0.25,XGBoost
1068,2024-01,0.0,14.0,0.0,XGBoost
1069,2024-01,0.0,38.67,0.0,XGBoost
1070,2024-01,0.0,30.0,0.0,XGBoost
1071,2024-01,0.01,40.33,0.01,XGBoost
1072,2024-01,0.0,29.0,0.0,XGBoost
1073,2024-01,0.0,83.0,0.0,XGBoost
1074,2024-01,0.0,20.33,0.0,XGBoost
1075,2024-01,0.38,18.33,0.38,XGBoost
1076,2024-01,0.0,28.33,0.0,XGBoost
1077,2024-01,0.0,17.33,0.0,XGBoost
1078,2024-01,0.0,2.67,0.0,XGBoost
1079,2024-01,0.0,16.67,0.0,XGBoost
1080,2024-01,0.0,10.67,0.0,XGBoost
1081,2024-01,0.0,7.67,0.0,XGBoost
1082,2024-01,0.09,13.67,0.09,XGBoost
1083,2024-01,1.47,0.0,1.47,XGBoost
1084,2024-01,0.0,5.0,0.0,XGBoost
1085,2024-01,0.05,24.67,0.05,XGBoost
1086,2024-01,0.0,42.67,0.0,XGBoost
1087,2024-01,0.0,28.33,0.0,XGBoost
1088,2024-01,0.0,32.33,0.0,XGBoost
1089,2024-01,0.0,64.33,0.0,XGBoost
1090,2024-01,0.0,47.67,0.0,XGBoost
1091,2024-01,0.21,18.0,0.21,XGBoost
1092,2024-01,0.27,32.0,0.27,XGBoost
1093,2024-01,0.15,44.33,0.15,XGBoost
1094,2024-01,0.09,9.0,0.09,XGBoost
1095,2024-01,0.0,33.67,0.0,XGBoost
1096,2024-01,0.41,15.67,0.41,XGBoost
1097,2024-01,0.0,25.33,0.0,XGBoost
1098,2024-01,0.0,26.67,0.0,XGBoost
1099,2024-01,0.0,65.0,0.0,XGBoost
1100,2024-01,0.04,29.33,0.04,XGBoost
