producto_id,categoria_abc,variabilidad,metodo_pronostico,demanda_promedio_mensual_pronosticada,lead_time_meses,stock_seguridad,punto_reorden,inventario_actual,eoq,limite_presupuesto_unidades,cantidad_sugerida_pedido,ordenar
1001,A,Media,XGBoost,32.5,0.5,1.57,17.82,2483.0,,,0,NO
1002,A,Alta,XGBoost,29.18,0.5,24.12,38.7,640.0,,,0,NO
1003,A,Alta,XGBoost,15.18,0.5,24.85,32.44,1520.0,,,0,NO
1004,A,Alta,XGBoost,11.05,0.5,10.16,15.68,1540.0,,,0,NO
1005,A,Alta,XGBoost,23.33,0.5,19.49,31.16,898.0,,,0,NO
1006,A,Alta,XGBoost,8.08,0.5,13.3,17.34,1426.0,,,0,NO
1007,C,Alta,XGBoost,0.12,0.5,0.18,0.24,1242.0,,,0,NO
1008,A,Media,XGBoost,41.47,0.5,36.35,57.09,568.67,,,0,NO
1009,A,Alta,XGBoost,8.56,0.5,14.01,18.29,2000.0,,,0,NO
1010,B,Alta,XGBoost,32.71,0.5,27.02,43.38,532.0,,,0,NO
1011,C,Alta,XGBoost,7.85,0.5,10.83,14.75,323.0,,,0,NO
1012,A,Media,XGBoost,36.35,0.5,10.6,28.78,1377.0,,,0,NO
1013,A,Alta,XGBoost,12.07,0.5,19.81,25.85,1088.5,,,0,NO
1014,A,Alta,XGBoost,21.44,0.5,18.67,29.39,679.0,,,0,NO
1015,A,Alta,XGBoost,14.02,0.5,11.86,18.87,1274.0,,,0,NO
1016,A,Alta,XGBoost,20.06,0.5,17.26,27.29,996.0,,,0,NO
1017,A,Media,XGBoost,18.04,0.5,15.17,24.19,1707.0,,,0,NO
1018,C,Alta,XGBoost,0.0,0.5,0.0,0.0,1112.0,,,0,NO
1019,A,Media,XGBoost,29.07,0.5,7.24,21.78,2230.0,,,0,NO
1020,B,Alta,XGBoost,9.14,0.5,15.08,19.65,903.0,,,0,NO
1021,A,Alta,XGBoost,9.97,0.5,16.09,21.07,337.5,,,0,NO
1022,C,Alta,XGBoost,14.79,0.5,12.8,20.2,1547.0,,,0,NO
1023,A,Alta,XGBoost,16.74,0.5,13.81,22.18,596.0,,,0,NO
1024,A,Media,XGBoost,44.98,0.5,38.22,60.72,1112.5,,,0,NO
1025,A,Alta,XGBoost,20.47,0.5,16.61,26.85,1596.5,,,0,NO
1026,B,Alta,XGBoost,22.27,0.5,18.39,29.53,1275.0,,,0,NO
1027,A,Alta,XGBoost,0.0,0.5,0.0,0.0,881.0,,,0,NO
1028,A,Alta,XGBoost,4.93,0.5,8.14,10.61,505.0,,,0,NO
1029,A,Media,XGBoost,10.58,0.5,8.79,14.08,2294.0,,,0,NO
1030,A,Alta,XGBoost,9.6,0.5,15.78,20.58,605.5,,,0,NO
1031,C,Alta,XGBoost,5.34,0.5,7.36,10.03,895.0,,,0,NO
1032,A,Alta,XGBoost,29.37,0.5,6.78,21.47,2521.0,,,0,NO
1033,A,Media,XGBoost,17.61,0.5,14.67,23.48,1977.33,,,0,NO
1034,A,Alta,XGBoost,8.11,0.5,13.23,17.29,1457.0,,,0,NO
1035,A,Alta,XGBoost,11.3,0.5,18.49,24.14,1336.0,,,0,NO
1036,A,Media,XGBoost,24.68,0.5,6.17,18.51,322.0,,,0,NO
1037,B,Alta,XGBoost,11.98,0.5,19.51,25.5,563.0,,,0,NO
1038,B,Alta,XGBoost,17.78,0.5,14.68,23.57,809.0,,,0,NO
1039,A,Media,XGBoost,0.0,0.5,0.01,0.01,944.5,,,0,NO
1040,B,Alta,XGBoost,10.92,0.5,17.84,23.3,760.0,,,0,NO
1041,B,Alta,XGBoost,9.78,0.5,16.04,20.93,402.0,,,0,NO
1042,A,Alta,XGBoost,0.0,0.5,0.0,0.0,1064.0,,,0,NO
1043,C,Alta,XGBoost,18.04,0.5,3.4,12.42,808.0,,,0,NO
1044,B,Alta,XGBoost,20.5,0.5,17.41,27.65,1212.0,,,0,NO
1045,A,Alta,XGBoost,29.75,0.5,29.72,44.59,874.0,,,0,NO
1046,B,Alta,XGBoost,0.08,0.5,0.01,0.05,160.5,,,0,NO
1047,A,Alta,XGBoost,30.07,0.5,49.34,64.37,1541.0,,,0,NO
1048,A,Alta,XGBoost,8.37,0.5,13.81,17.99,1025.0,,,0,NO
1049,A,Alta,XGBoost,20.11,0.5,17.22,27.28,1046.0,,,0,NO
1050,A,Alta,XGBoost,12.78,0.5,21.06,27.45,613.0,,,0,NO
1051,A,Alta,XGBoost,26.16,0.5,5.5,18.58,1277.0,,,0,NO
1052,A,Alta,XGBoost,36.63,0.5,10.06,28.38,1186.0,,,0,NO
1053,A,Alta,XGBoost,24.04,0.5,19.76,31.78,1296.0,,,0,NO
1054,A,Media,XGBoost,9.46,0.5,15.08,19.8,848.33,,,0,NO
1055,B,Alta,XGBoost,14.46,0.5,11.95,19.18,1765.0,,,0,NO
1056,A,Alta,XGBoost,15.56,0.5,25.31,33.09,1111.0,,,0,NO
1057,A,Alta,XGBoost,39.96,0.5,8.48,28.46,1535.0,,,0,NO
1058,A,Alta,XGBoost,16.16,0.5,15.28,23.36,854.0,,,0,NO
1059,A,Alta,XGBoost,23.73,0.5,22.82,34.68,1205.0,,,0,NO
1060,A,Alta,XGBoost,21.5,0.5,17.78,28.53,508.0,,,0,NO
1061,A,Alta,XGBoost,23.36,0.5,19.26,30.94,1286.5,,,0,NO
1062,A,Alta,XGBoost,29.68,0.5,4.12,18.96,2274.0,,,0,NO
1063,A,Media,XGBoost,20.83,0.5,18.42,28.83,1853.0,,,0,NO
1064,B,Alta,XGBoost,1.84,0.5,3.03,3.95,1260.0,,,0,NO
1065,C,Alta,XGBoost,13.76,0.5,11.39,18.28,643.5,,,0,NO
1066,B,Alta,XGBoost,4.23,0.5,6.98,9.1,1247.0,,,0,NO
1067,A,Alta,XGBoost,0.26,0.5,0.21,0.34,1092.0,,,0,NO
1068,C,Alta,XGBoost,4.63,0.5,7.64,9.96,862.0,,,0,NO
1069,A,Alta,XGBoost,29.77,0.5,4.18,19.07,2398.0,,,0,NO
1070,C,Alta,XGBoost,14.11,0.5,11.32,18.38,942.5,,,0,NO
1071,B,Alta,XGBoost,21.1,0.5,2.24,12.79,1286.0,,,0,NO
1072,A,Alta,XGBoost,19.45,0.5,20.78,30.5,864.0,,,0,NO
1073,A,Alta,XGBoost,26.3,0.5,10.75,23.9,1076.33,,,0,NO
1074,A,Media,XGBoost,10.51,0.5,9.18,14.43,768.0,,,0,NO
1075,A,Alta,XGBoost,27.54,0.5,22.26,36.03,1590.0,,,0,NO
1076,B,Alta,XGBoost,18.6,0.5,15.42,24.72,1171.0,,,0,NO
1077,B,Alta,XGBoost,12.4,0.5,10.9,17.1,1890.0,,,0,NO
1078,B,Alta,XGBoost,11.75,0.5,19.36,25.24,1212.0,,,0,NO
1079,B,Alta,XGBoost,11.25,0.5,18.43,24.06,593.0,,,0,NO
1080,B,Alta,XGBoost,5.88,0.5,9.7,12.64,1852.0,,,0,NO
1081,B,Alta,XGBoost,7.26,0.5,11.97,15.6,1042.0,,,0,NO
1082,A,Alta,XGBoost,8.62,0.5,14.08,18.39,295.0,,,0,NO
1083,C,Alta,XGBoost,0.46,0.5,0.7,0.94,261.0,,,0,NO
1084,A,Alta,XGBoost,14.84,0.5,24.49,31.91,1065.0,,,0,NO
1085,A,Media,XGBoost,23.75,0.5,20.56,32.43,951.0,,,0,NO
1086,A,Media,XGBoost,27.35,0.5,0.97,14.64,2070.5,,,0,NO
1087,A,Alta,XGBoost,18.89,0.5,15.59,25.03,1602.0,,,0,NO
1088,C,Alta,XGBoost,18.4,0.5,5.55,14.75,2111.0,,,0,NO
1089,A,Alta,XGBoost,29.93,0.5,12.26,27.22,2231.0,,,0,NO
1090,A,Media,XGBoost,34.97,0.5,10.7,28.19,1723.0,,,0,NO
1091,B,Alta,XGBoost,7.02,0.5,11.55,15.06,524.5,,,0,NO
1092,A,Media,XGBoost,26.78,0.5,23.47,36.86,1675.5,,,0,NO
1093,A,Alta,XGBoost,27.18,0.5,22.3,35.89,927.0,,,0,NO
1094,A,Alta,XGBoost,16.02,0.5,23.54,31.55,353.5,,,0,NO
1095,B,Alta,XGBoost,36.03,0.5,16.22,34.23,400.0,,,0,NO
1096,A,Baja,XGBoost,44.76,0.5,7.04,29.43,1224.0,,,0,NO
1097,A,Alta,XGBoost,8.63,0.5,14.24,18.56,1786.5,,,0,NO
1098,C,Alta,XGBoost,16.49,0.5,0.82,9.06,572.0,,,0,NO
1099,A,Media,XGBoost,20.65,0.5,18.47,28.8,2644.67,,,0,NO
1100,A,Alta,XGBoost,9.24,0.5,7.82,12.44,510.5,,,0,NO
